start_region_table
00:00:00.0 00:00:01.7 24
00:00:00.0 00:00:01.7 00
00:00:01.7 00:00:02.9 01
00:00:02.9 00:00:04.2 02
00:00:04.2 00:00:05.4 03
00:00:05.4 00:00:06.7 04
00:00:06.7 00:00:08.0 05
00:00:08.0 00:00:09.4 06
00:00:09.4 00:00:10.8 07
00:00:10.8 00:00:12.2 08
00:00:12.2 00:00:13.7 09
00:00:13.7 00:00:15.2 10
00:00:15.2 00:00:16.6 11
00:00:16.6 00:00:18.0 12
00:00:18.0 00:00:19.4 13
00:00:19.4 00:00:20.9 14
00:00:20.9 00:00:22.5 15
00:00:22.5 00:00:24.1 16
00:00:24.1 00:00:25.5 17
00:00:25.5 00:00:26.9 18
00:00:26.9 00:00:28.5 19
00:00:28.5 00:00:30.0 20
00:00:30.0 00:00:31.6 21
00:00:31.6 00:00:33.3 22
00:00:33.3 00:00:35.1 23
end_region_table
