start_region_table
00:00:00.0 00:00:01.0 00
00:00:00.0 00:00:01.0 60
00:00:01.0 00:00:02.1 01
00:00:02.1 00:00:03.2 02
00:00:03.2 00:00:04.4 03
00:00:04.4 00:00:05.8 04
00:00:05.8 00:00:07.0 05
00:00:07.0 00:00:08.5 06
00:00:08.5 00:00:09.9 07
00:00:09.9 00:00:11.0 08
00:00:11.0 00:00:12.3 09
00:00:12.3 00:00:13.6 10
00:00:13.6 00:00:14.9 11
00:00:14.9 00:00:16.3 12
00:00:16.3 00:00:17.8 13
00:00:17.8 00:00:19.5 14
00:00:19.5 00:00:21.1 15
00:00:21.1 00:00:22.8 16
00:00:22.8 00:00:24.4 17
00:00:24.4 00:00:25.9 18
00:00:25.9 00:00:27.6 19
00:00:27.6 00:00:29.1 20
00:00:29.1 00:00:30.8 21
00:00:30.8 00:00:32.5 22
00:00:32.5 00:00:34.2 23
00:00:34.2 00:00:35.8 24
00:00:35.8 00:00:37.4 25
00:00:37.4 00:00:39.1 26
00:00:39.1 00:00:40.8 27
00:00:40.8 00:00:42.5 28
00:00:42.5 00:00:44.1 29
00:00:44.1 00:00:45.5 30
00:00:45.5 00:00:47.1 31
00:00:47.1 00:00:48.9 32
00:00:48.9 00:00:50.6 33
00:00:50.6 00:00:52.3 34
00:00:52.3 00:00:54.1 35
00:00:54.1 00:00:56.1 36
00:00:56.1 00:00:58.1 37
00:00:58.1 00:01:00.1 38
00:01:00.1 00:01:02.1 39
00:01:02.1 00:01:03.4 40
00:01:03.4 00:01:05.0 41
00:01:05.0 00:01:06.7 42
00:01:06.7 00:01:08.5 43
00:01:08.5 00:01:10.3 44
00:01:10.3 00:01:12.1 45
00:01:12.1 00:01:14.0 46
00:01:14.0 00:01:15.9 47
00:01:15.9 00:01:17.8 48
00:01:17.8 00:01:19.7 49
00:01:19.7 00:01:21.3 50
00:01:21.3 00:01:23.0 51
00:01:23.0 00:01:25.1 52
00:01:25.1 00:01:27.1 53
00:01:27.1 00:01:29.3 54
00:01:29.3 00:01:31.2 55
00:01:31.2 00:01:33.3 56
00:01:33.3 00:01:35.3 57
00:01:35.3 00:01:37.4 58
00:01:37.4 00:01:39.4 59
end_region_table
