start_region_table
00:00:00.0 00:00:01.1 00
00:00:01.1 00:00:02.3 01
00:00:02.3 00:00:03.8 02
00:00:03.8 00:00:05.1 03
00:00:05.1 00:00:06.4 04
00:00:06.4 00:00:08.1 05
00:00:08.1 00:00:09.4 06
00:00:09.4 00:00:11.0 07
00:00:11.0 00:00:12.4 08
00:00:12.4 00:00:13.9 09
00:00:13.9 00:00:15.3 10
00:00:15.3 00:00:16.6 11
00:00:16.6 00:00:18.1 12
00:00:18.1 00:00:19.5 13
00:00:19.5 00:00:21.0 14
00:00:21.0 00:00:22.4 15
00:00:22.4 00:00:24.1 16
00:00:24.1 00:00:26.0 17
00:00:26.0 00:00:27.8 18
00:00:27.8 00:00:29.7 19
00:00:29.7 00:00:31.2 20
00:00:31.2 00:00:32.9 21
00:00:32.9 00:00:34.7 22
00:00:34.7 00:00:36.5 23
00:00:36.5 00:00:38.3 24
00:00:38.3 00:00:40.2 25
00:00:40.2 00:00:42.2 26
00:00:42.2 00:00:44.1 27
00:00:44.1 00:00:46.0 28
00:00:46.0 00:00:47.9 29
00:00:47.9 00:00:49.5 30
00:00:49.5 00:00:51.1 31
00:00:51.1 00:00:52.9 32
00:00:52.9 00:00:54.7 33
00:00:54.7 00:00:56.5 34
00:00:56.5 00:00:58.3 35
00:00:58.3 00:01:00.2 36
00:01:00.2 00:01:02.1 37
00:01:02.1 00:01:03.8 38
00:01:03.8 00:01:05.7 39
00:01:05.7 00:01:07.1 40
00:01:07.1 00:01:08.7 41
00:01:08.7 00:01:10.6 42
00:01:10.6 00:01:12.4 43
00:01:12.4 00:01:14.3 44
00:01:14.3 00:01:16.3 45
00:01:16.3 00:01:18.1 46
00:01:18.1 00:01:20.0 47
00:01:20.0 00:01:21.8 48
00:01:21.8 00:01:23.5 49
00:01:23.5 00:01:25.1 50
00:01:25.1 00:01:26.9 51
00:01:26.9 00:01:28.8 52
00:01:28.8 00:01:30.8 53
00:01:30.8 00:01:32.8 54
00:01:32.8 00:01:35.0 55
00:01:35.0 00:01:37.0 56
00:01:37.0 00:01:39.1 57
00:01:39.1 00:01:41.1 58
00:01:41.1 00:01:43.2 59
end_region_table
