start_region_table
00:00:00.0 00:00:02.2 00
00:00:02.2 00:00:04.5 01
00:00:04.5 00:00:06.9 02
00:00:06.9 00:00:09.4 03
00:00:09.4 00:00:12.1 04
00:00:12.1 00:00:14.6 05
00:00:14.6 00:00:16.9 06
00:00:16.9 00:00:19.5 07
00:00:19.5 00:00:21.8 08
00:00:21.8 00:00:24.3 09
00:00:24.3 00:00:26.6 10
00:00:26.6 00:00:29.1 11
00:00:29.1 00:00:31.5 12
00:00:31.5 00:00:33.9 13
00:00:33.9 00:00:36.3 14
00:00:36.3 00:00:38.7 15
00:00:38.7 00:00:41.2 16
00:00:41.2 00:00:43.8 17
00:00:43.8 00:00:46.3 18
00:00:46.3 00:00:48.9 19
00:00:48.9 00:00:51.2 20
00:00:51.2 00:00:53.6 21
00:00:53.6 00:00:56.1 22
00:00:56.1 00:00:58.7 23
00:00:58.7 00:01:01.3 24
00:01:01.3 00:01:03.8 25
00:01:03.8 00:01:06.4 26
00:01:06.4 00:01:09.0 27
00:01:09.0 00:01:11.4 28
00:01:11.4 00:01:14.1 29
00:01:14.1 00:01:16.5 30
00:01:16.5 00:01:18.9 31
00:01:18.9 00:01:21.3 32
00:01:21.3 00:01:23.6 33
00:01:23.6 00:01:26.1 34
00:01:26.1 00:01:28.7 35
00:01:28.7 00:01:31.3 36
00:01:31.3 00:01:33.8 37
00:01:33.8 00:01:36.2 38
00:01:36.2 00:01:38.6 39
00:01:38.6 00:01:40.9 40
00:01:40.9 00:01:43.4 41
00:01:43.4 00:01:45.9 42
00:01:45.9 00:01:48.4 43
00:01:48.4 00:01:50.9 44
00:01:50.9 00:01:53.6 45
00:01:53.6 00:01:56.2 46
00:01:56.2 00:01:58.6 47
00:01:58.6 00:02:01.1 48
00:02:01.1 00:02:03.5 49
00:02:03.5 00:02:05.9 50
00:02:05.9 00:02:09.2 -1
00:02:09.2 00:02:12.6 -2
00:02:12.6 00:02:16.0 -3
00:02:16.0 00:02:19.6 -4
00:02:19.6 00:02:23.1 -5
00:02:23.1 00:02:26.6 -6
00:02:26.6 00:02:30.3 -7
00:02:30.3 00:02:33.6 -8
00:02:33.6 00:02:37.0 -9
00:02:37.0 00:02:40.4 -10
00:02:40.4 00:02:43.8 -11
00:02:43.8 00:02:47.3 -12
00:02:47.3 00:02:50.7 -13
00:02:50.7 00:02:54.1 -14
00:02:54.1 00:02:57.5 -15
00:02:57.5 00:03:01.1 -16
00:03:01.1 00:03:04.6 -17
00:03:04.6 00:03:08.3 -18
00:03:08.3 00:03:11.9 -19
00:03:11.9 00:03:15.4 -20
00:03:15.4 00:03:18.9 -21
00:03:18.9 00:03:22.5 -22
00:03:22.5 00:03:26.2 -23
00:03:26.2 00:03:29.8 -24
00:03:29.8 00:03:33.6 -25
00:03:33.6 00:03:37.3 -26
00:03:37.3 00:03:41.0 -27
00:03:41.0 00:03:44.6 -28
00:03:44.6 00:03:48.3 -29
00:03:48.3 00:03:51.8 -30
end_region_table
